empid,gender,age,maritalstatus,joblevel,experience,occupation,emptype,wlb,workenv,physicalactivityhours,workload,stress,sleephours,commutemode,commutedistance,numcompanies,teamsize,numreports,edulevel,haveot,traininghoursperyear,jobsatisfaction,work_schedule_variability,work_schedule_variability_logit,pause_work,pause_work_logit,work_pace,work_pace_pca
1894,Male,24,Single,Junior,2,Legal,Full-Time,1,3,1.9,1,1,6.1,Car,15,0,8,0,Bachelor,False,21.0,4,0.379,-0.4937964871557141,0.934,2.6498065448020496,0.9477771405175616,-0.7161813628788973
1895,Female,34,Single,Mid,12,Operations,Full-Time,1,5,2.9,5,1,7.7,Car,8,4,13,0,Bachelor,False,36.0,4,0.341,-0.6588425746685219,0.957,3.102580020215852,1.2378562988634576,-0.963264164870842
1898,Female,35,Single,Mid,13,Marketing,Full-Time,5,5,1.2,4,3,8.2,Bike,6,4,12,0,Bachelor,False,36.5,4,0.236,-1.1747372930405775,0.995,5.293104844721825,7.93258469151263,4.4833271048674606
1906,Male,26,Married,Junior,4,IT,Full-Time,4,2,0.9,4,1,7.4,Car,16,1,8,0,Bachelor,True,22.0,4,0.276,-0.964391907883082,0.944,2.8247566184269326,1.4475152754503298,-0.5771805927233176
1908,Female,23,Single,Intern/Fresher,1,Legal,Full-Time,1,2,1.7,1,1,6.6,Car,25,0,27,0,Bachelor,False,10.5,4,0.379,-0.4937964871557141,0.934,2.6498065448020496,0.9477771405175616,-0.7161813628788973
1914,Male,28,Single,Junior,6,HR,Full-Time,1,4,2.6,3,1,7.6,Public Transport,8,2,6,0,Bachelor,False,23.0,4,0.078,-2.4698374814651123,0.995,5.293104844721825,1.4438351144895296,-0.913156847486076
1920,Female,40,Married,Senior,1,Marketing,Part-Time,5,3,2.7,2,2,6.0,Car,14,6,24,4,Bachelor,False,40.5,4,0.236,-1.1747372930405775,0.995,5.293104844721825,7.93258469151263,4.4833271048674606
1922,Male,27,Single,Junior,5,Operations,Part-Time,5,3,2.7,4,1,6.2,Public Transport,28,1,5,0,Bachelor,False,22.5,4,0.341,-0.6588425746685219,0.957,3.102580020215852,1.2378562988634576,-0.963264164870842
1923,Female,43,Married,Mid,12,Marketing,Full-Time,5,3,2.4,4,5,7.6,Car,16,7,13,0,Bachelor,False,36.0,4,0.236,-1.1747372930405775,0.995,5.293104844721825,7.93258469151263,4.4833271048674606
1926,Female,28,Married,Senior,6,Marketing,Full-Time,4,1,2.3,2,5,8.0,Walk,2,2,15,3,Bachelor,False,43.0,4,0.236,-1.1747372930405775,0.995,5.293104844721825,7.93258469151263,4.4833271048674606
1929,Female,32,Single,Mid,10,Operations,Full-Time,1,2,0.6,2,1,6.2,Car,8,3,13,0,Bachelor,False,35.0,4,0.341,-0.6588425746685219,0.957,3.102580020215852,1.2378562988634576,-0.963264164870842
1931,Female,40,Married,Mid,18,IT,Full-Time,2,4,3.4,3,1,7.0,Public Transport,26,6,13,0,Bachelor,True,39.0,4,0.276,-0.964391907883082,0.944,2.8247566184269326,1.4475152754503298,-0.5771805927233176
1938,Male,32,Single,Mid,10,Legal,Full-Time,4,1,3.7,4,3,8.4,Public Transport,7,3,11,0,Bachelor,False,35.0,4,0.379,-0.4937964871557141,0.934,2.6498065448020496,0.9477771405175616,-0.7161813628788973
1944,Male,22,Single,Intern/Fresher,0,IT,Full-Time,3,4,2.3,2,1,7.1,Walk,1,0,22,0,Bachelor,False,10.0,4,0.276,-0.964391907883082,0.944,2.8247566184269326,1.4475152754503298,-0.5771805927233176
1945,Female,38,Married,Mid,14,Operations,Part-Time,4,1,2.2,4,1,9.2,Walk,1,5,10,0,Bachelor,True,37.0,4,0.341,-0.6588425746685219,0.957,3.102580020215852,1.2378562988634576,-0.963264164870842
1946,Male,29,Single,Junior,7,Sales,Part-Time,3,2,0.5,2,1,6.4,Car,17,2,7,0,Bachelor,True,23.5,4,0.605,0.4263401614873545,0.4579999999999999,-0.1683986623422096,0.6746426975192413,-0.5879664889980762
1950,Male,32,Married,Mid,10,IT,Part-Time,5,1,3.4,2,1,5.9,Car,18,3,10,0,Bachelor,True,35.0,4,0.276,-0.964391907883082,0.944,2.8247566184269326,1.4475152754503298,-0.5771805927233176
1954,Male,23,Single,Intern/Fresher,1,Finance,Full-Time,1,3,2.8,3,1,8.1,Public Transport,10,0,21,0,Bachelor,False,10.5,4,0.2789999999999999,-0.9494287424251738,0.977,3.748948958797915,1.2462178102254324,-0.7401193827985633
1955,Male,28,Single,Junior,6,Operations,Full-Time,3,3,1.9,2,2,7.9,Car,23,2,8,0,Bachelor,False,23.0,4,0.341,-0.6588425746685219,0.957,3.102580020215852,1.2378562988634576,-0.963264164870842
1957,Male,39,Married,Senior,2,IT,Full-Time,5,1,2.0,4,1,7.9,Motorbike,18,5,18,3,Bachelor,False,41.0,4,0.276,-0.964391907883082,0.944,2.8247566184269326,1.4475152754503298,-0.5771805927233176
1959,Male,30,Married,Mid,8,Legal,Part-Time,4,3,3.4,1,1,6.0,Car,26,2,14,0,Bachelor,False,34.0,4,0.379,-0.4937964871557141,0.934,2.6498065448020496,0.9477771405175616,-0.7161813628788973
1960,Female,28,Married,Mid,6,Legal,Full-Time,4,1,3.4,5,2,8.4,Car,16,2,11,0,Bachelor,False,33.0,4,0.379,-0.4937964871557141,0.934,2.6498065448020496,0.9477771405175616,-0.7161813628788973
1961,Male,26,Single,Junior,3,Finance,Part-Time,2,3,1.0,2,3,7.6,Car,25,1,9,0,Bachelor,False,21.5,4,0.2789999999999999,-0.9494287424251738,0.977,3.748948958797915,1.2462178102254324,-0.7401193827985633
1968,Female,28,Single,Junior,6,Operations,Full-Time,3,3,0.4,2,1,7.4,Car,16,2,9,0,Bachelor,False,23.0,4,0.341,-0.6588425746685219,0.957,3.102580020215852,1.2378562988634576,-0.963264164870842
1971,Female,34,Married,Senior,12,Finance,Part-Time,4,4,4.2,2,1,7.0,Bike,4,4,25,7,Bachelor,False,46.0,4,0.2789999999999999,-0.9494287424251738,0.977,3.748948958797915,1.2462178102254324,-0.7401193827985633
1972,Female,27,Single,Mid,5,IT,Contract,4,2,2.0,1,1,9.3,Motorbike,15,1,13,0,Bachelor,True,32.5,4,0.276,-0.964391907883082,0.944,2.8247566184269326,1.4475152754503298,-0.5771805927233176
1974,Female,30,Married,Senior,8,Finance,Full-Time,3,3,2.1,2,2,7.1,Car,6,2,15,5,Bachelor,False,44.0,4,0.2789999999999999,-0.9494287424251738,0.977,3.748948958797915,1.2462178102254324,-0.7401193827985633
1980,Other,39,Single,Mid,17,Finance,Full-Time,3,3,3.5,3,1,6.6,Motorbike,7,5,13,0,Bachelor,False,38.5,4,0.2789999999999999,-0.9494287424251738,0.977,3.748948958797915,1.2462178102254324,-0.7401193827985633
1982,Male,24,Single,Junior,2,Legal,Full-Time,2,4,2.2,2,1,7.3,Car,23,0,6,0,Bachelor,False,21.0,4,0.379,-0.4937964871557141,0.934,2.6498065448020496,0.9477771405175616,-0.7161813628788973
1986,Male,28,Single,Mid,6,Legal,Part-Time,1,1,3.2,1,2,7.4,Car,8,2,15,0,Bachelor,False,33.0,4,0.379,-0.4937964871557141,0.934,2.6498065448020496,0.9477771405175616,-0.7161813628788973
1991,Female,27,Single,Junior,5,IT,Full-Time,3,3,1.9,2,1,6.2,Bike,10,1,10,0,Bachelor,True,22.5,4,0.276,-0.964391907883082,0.944,2.8247566184269326,1.4475152754503298,-0.5771805927233176
1996,Female,24,Single,Junior,2,HR,Full-Time,4,3,1.9,4,1,7.6,Bike,6,0,6,0,Bachelor,False,21.0,4,0.078,-2.4698374814651123,0.995,5.293104844721825,1.4438351144895296,-0.913156847486076
2003,Female,23,Single,Intern/Fresher,1,Sales,Part-Time,3,4,2.1,4,3,6.5,Car,13,0,26,0,Bachelor,False,10.5,4,0.605,0.4263401614873545,0.4579999999999999,-0.1683986623422096,0.6746426975192413,-0.5879664889980762
2011,Male,26,Single,Junior,4,Sales,Full-Time,5,1,1.2,2,2,7.9,Bike,9,1,7,0,Bachelor,False,22.0,4,0.605,0.4263401614873545,0.4579999999999999,-0.1683986623422096,0.6746426975192413,-0.5879664889980762
2012,Male,48,Single,Senior,3,Operations,Full-Time,5,2,4.0,4,1,6.3,Car,15,8,23,2,Bachelor,False,41.5,4,0.341,-0.6588425746685219,0.957,3.102580020215852,1.2378562988634576,-0.963264164870842
2015,Male,24,Single,Junior,2,Sales,Part-Time,5,2,1.3,3,3,7.7,Motorbike,17,0,6,0,Bachelor,False,21.0,4,0.605,0.4263401614873545,0.4579999999999999,-0.1683986623422096,0.6746426975192413,-0.5879664889980762
2017,Female,40,Married,Mid,14,Operations,Full-Time,5,2,1.8,2,1,6.6,Motorbike,10,6,13,0,Bachelor,False,37.0,4,0.341,-0.6588425746685219,0.957,3.102580020215852,1.2378562988634576,-0.963264164870842
2019,Female,27,Married,Mid,5,Marketing,Contract,5,2,2.1,4,1,8.2,Public Transport,7,1,13,0,Bachelor,False,32.5,4,0.236,-1.1747372930405775,0.995,5.293104844721825,7.93258469151263,4.4833271048674606
2024,Female,28,Single,Junior,2,Operations,Full-Time,5,3,0.1,1,2,6.9,Public Transport,21,2,5,0,Bachelor,False,21.0,4,0.341,-0.6588425746685219,0.957,3.102580020215852,1.2378562988634576,-0.963264164870842
2031,Male,46,Married,Mid,17,Legal,Part-Time,4,2,1.7,2,3,7.1,Public Transport,22,8,12,0,Bachelor,False,38.5,4,0.379,-0.4937964871557141,0.934,2.6498065448020496,0.9477771405175616,-0.7161813628788973
2036,Male,42,Single,Mid,12,Finance,Full-Time,4,2,3.3,4,1,7.5,Car,29,6,13,0,Bachelor,False,36.0,4,0.2789999999999999,-0.9494287424251738,0.977,3.748948958797915,1.2462178102254324,-0.7401193827985633
2040,Male,35,Single,Mid,6,IT,Full-Time,2,3,2.0,2,1,7.6,Car,27,4,13,0,Bachelor,True,33.0,4,0.276,-0.964391907883082,0.944,2.8247566184269326,1.4475152754503298,-0.5771805927233176
2045,Female,40,Divorced,Mid,8,Finance,Contract,4,4,4.0,4,1,7.0,Walk,2,6,13,0,Bachelor,False,34.0,4,0.2789999999999999,-0.9494287424251738,0.977,3.748948958797915,1.2462178102254324,-0.7401193827985633
2047,Male,28,Single,Junior,1,Customer Service,Full-Time,2,4,2.0,1,1,7.2,Public Transport,22,2,7,0,Bachelor,False,20.5,4,0.42,-0.3227751163994959,0.413,-0.3515789304431254,1.9559452838098923,0.0145417348883126
2048,Male,25,Married,Junior,3,Operations,Part-Time,5,4,2.1,4,4,5.8,Car,11,1,8,0,Bachelor,False,21.5,4,0.341,-0.6588425746685219,0.957,3.102580020215852,1.2378562988634576,-0.963264164870842
2050,Female,22,Single,Junior,0,IT,Part-Time,4,2,1.2,1,2,5.3,Walk,1,0,9,0,Bachelor,True,20.0,4,0.276,-0.964391907883082,0.944,2.8247566184269326,1.4475152754503298,-0.5771805927233176
2052,Male,22,Single,Junior,0,Finance,Contract,3,1,0.5,2,2,7.3,Walk,2,0,10,0,Bachelor,False,20.0,4,0.2789999999999999,-0.9494287424251738,0.977,3.748948958797915,1.2462178102254324,-0.7401193827985633
2053,Male,23,Single,Intern/Fresher,1,IT,Full-Time,5,3,0.9,4,1,7.7,Public Transport,25,0,27,0,Bachelor,True,10.5,4,0.276,-0.964391907883082,0.944,2.8247566184269326,1.4475152754503298,-0.5771805927233176
2054,Female,42,Married,Senior,17,Marketing,Full-Time,3,2,3.1,2,1,8.3,Car,29,6,24,2,Bachelor,False,48.5,4,0.236,-1.1747372930405775,0.995,5.293104844721825,7.93258469151263,4.4833271048674606
2055,Other,53,Single,Senior,29,Operations,Full-Time,5,4,0.9,5,1,6.6,Car,5,10,22,3,Bachelor,False,54.5,4,0.341,-0.6588425746685219,0.957,3.102580020215852,1.2378562988634576,-0.963264164870842
2058,Male,24,Single,Mid,2,Operations,Full-Time,1,2,3.4,4,1,8.3,Motorbike,12,0,11,0,Bachelor,False,31.0,4,0.341,-0.6588425746685219,0.957,3.102580020215852,1.2378562988634576,-0.963264164870842
2061,Female,28,Single,Mid,6,Marketing,Full-Time,3,2,0.5,1,1,7.8,Car,26,2,14,0,Bachelor,False,33.0,4,0.236,-1.1747372930405775,0.995,5.293104844721825,7.93258469151263,4.4833271048674606
2064,Female,45,Married,Senior,2,Customer Service,Full-Time,4,4,0.7,1,3,5.5,Public Transport,18,7,23,9,Bachelor,False,41.0,4,0.42,-0.3227751163994959,0.413,-0.3515789304431254,1.9559452838098923,0.0145417348883126
2066,Male,34,Single,Mid,12,IT,Part-Time,3,4,2.8,1,1,6.4,Bike,10,4,13,0,Bachelor,True,36.0,4,0.276,-0.964391907883082,0.944,2.8247566184269326,1.4475152754503298,-0.5771805927233176
2067,Female,41,Married,Mid,12,Customer Service,Full-Time,1,3,2.7,1,1,4.9,Car,12,6,11,0,Bachelor,False,36.0,4,0.42,-0.3227751163994959,0.413,-0.3515789304431254,1.9559452838098923,0.0145417348883126
2069,Male,27,Single,Junior,5,HR,Part-Time,5,2,1.8,4,1,6.2,Bike,2,1,6,0,Bachelor,False,22.5,4,0.078,-2.4698374814651123,0.995,5.293104844721825,1.4438351144895296,-0.913156847486076
2071,Male,30,Single,Senior,3,Finance,Part-Time,3,4,2.3,2,1,5.5,Bike,1,2,18,8,Bachelor,True,41.5,4,0.2789999999999999,-0.9494287424251738,0.977,3.748948958797915,1.2462178102254324,-0.7401193827985633
2076,Male,39,Married,Mid,17,Marketing,Full-Time,5,2,1.1,1,2,7.2,Car,7,5,14,0,Bachelor,False,38.5,4,0.236,-1.1747372930405775,0.995,5.293104844721825,7.93258469151263,4.4833271048674606
2077,Male,37,Married,Senior,15,Customer Service,Full-Time,2,2,2.5,2,1,6.8,Car,14,5,22,2,Bachelor,False,47.5,4,0.42,-0.3227751163994959,0.413,-0.3515789304431254,1.9559452838098923,0.0145417348883126
2082,Female,36,Married,Mid,14,HR,Part-Time,2,2,2.8,3,1,6.6,Car,9,4,12,0,Bachelor,False,37.0,4,0.078,-2.4698374814651123,0.995,5.293104844721825,1.4438351144895296,-0.913156847486076
2085,Male,24,Single,Junior,2,Customer Service,Part-Time,4,5,2.1,5,3,7.9,Walk,2,0,10,0,Bachelor,False,21.0,4,0.42,-0.3227751163994959,0.413,-0.3515789304431254,1.9559452838098923,0.0145417348883126
2092,Male,39,Single,Mid,1,IT,Full-Time,3,5,2.4,3,1,6.4,Car,11,5,11,0,Bachelor,True,30.5,4,0.276,-0.964391907883082,0.944,2.8247566184269326,1.4475152754503298,-0.5771805927233176
2095,Female,37,Single,Mid,12,Legal,Full-Time,2,4,3.4,1,4,7.7,Car,21,5,13,0,Bachelor,True,36.0,4,0.379,-0.4937964871557141,0.934,2.6498065448020496,0.9477771405175616,-0.7161813628788973
2097,Female,27,Single,Mid,2,Customer Service,Full-Time,1,2,1.6,3,1,7.6,Car,27,1,12,0,Bachelor,False,31.0,4,0.42,-0.3227751163994959,0.413,-0.3515789304431254,1.9559452838098923,0.0145417348883126
2104,Male,29,Single,Junior,7,Operations,Full-Time,5,5,1.2,1,4,6.4,Walk,2,2,9,0,Bachelor,False,23.5,4,0.341,-0.6588425746685219,0.957,3.102580020215852,1.2378562988634576,-0.963264164870842
2108,Female,23,Single,Junior,1,Marketing,Full-Time,3,5,3.5,3,1,6.6,Car,5,0,8,0,Bachelor,False,20.5,4,0.236,-1.1747372930405775,0.995,5.293104844721825,7.93258469151263,4.4833271048674606
2112,Female,35,Married,Senior,7,Finance,Part-Time,1,5,1.8,2,3,7.1,Car,29,4,21,7,Bachelor,False,43.5,4,0.2789999999999999,-0.9494287424251738,0.977,3.748948958797915,1.2462178102254324,-0.7401193827985633
2113,Other,22,Single,Intern/Fresher,0,Finance,Full-Time,1,5,1.2,2,1,6.2,Car,12,0,23,0,Bachelor,True,10.0,4,0.2789999999999999,-0.9494287424251738,0.977,3.748948958797915,1.2462178102254324,-0.7401193827985633
2121,Male,23,Single,Junior,1,IT,Part-Time,3,1,1.9,2,2,8.0,Car,19,0,9,0,Bachelor,False,20.5,4,0.276,-0.964391907883082,0.944,2.8247566184269326,1.4475152754503298,-0.5771805927233176
2127,Female,26,Single,Mid,4,Finance,Full-Time,3,2,2.0,3,1,8.1,Bike,1,1,12,0,Bachelor,False,32.0,4,0.2789999999999999,-0.9494287424251738,0.977,3.748948958797915,1.2462178102254324,-0.7401193827985633
2128,Female,42,Married,Mid,20,Finance,Full-Time,1,3,3.4,3,1,8.6,Public Transport,23,6,11,0,Bachelor,False,40.0,4,0.2789999999999999,-0.9494287424251738,0.977,3.748948958797915,1.2462178102254324,-0.7401193827985633
2130,Male,39,Single,Mid,17,IT,Contract,5,4,0.0,5,2,7.3,Car,17,5,13,0,Bachelor,True,38.5,4,0.276,-0.964391907883082,0.944,2.8247566184269326,1.4475152754503298,-0.5771805927233176
2131,Male,28,Single,Junior,6,IT,Full-Time,3,5,2.3,4,1,8.0,Car,24,2,8,0,Bachelor,True,23.0,4,0.276,-0.964391907883082,0.944,2.8247566184269326,1.4475152754503298,-0.5771805927233176
2137,Male,24,Single,Mid,2,Operations,Part-Time,4,5,2.1,4,1,6.8,Public Transport,26,0,12,0,Bachelor,True,31.0,4,0.341,-0.6588425746685219,0.957,3.102580020215852,1.2378562988634576,-0.963264164870842
2140,Female,23,Single,Intern/Fresher,1,Marketing,Full-Time,2,2,3.1,2,1,6.8,Public Transport,20,0,30,0,Bachelor,False,10.5,4,0.236,-1.1747372930405775,0.995,5.293104844721825,7.93258469151263,4.4833271048674606
2157,Female,30,Married,Mid,8,IT,Part-Time,5,4,2.7,2,3,9.4,Walk,1,2,15,0,Bachelor,True,34.0,4,0.276,-0.964391907883082,0.944,2.8247566184269326,1.4475152754503298,-0.5771805927233176
2160,Male,40,Married,Mid,11,IT,Part-Time,2,4,2.1,2,1,6.9,Public Transport,28,6,14,0,Bachelor,True,35.5,4,0.276,-0.964391907883082,0.944,2.8247566184269326,1.4475152754503298,-0.5771805927233176
2162,Male,30,Single,Mid,8,IT,Full-Time,4,2,1.5,3,2,7.6,Car,8,2,15,0,Bachelor,True,34.0,4,0.276,-0.964391907883082,0.944,2.8247566184269326,1.4475152754503298,-0.5771805927233176
2174,Female,54,Married,Senior,21,Finance,Full-Time,5,5,1.3,2,5,8.4,Car,25,10,20,7,Bachelor,False,50.5,4,0.2789999999999999,-0.9494287424251738,0.977,3.748948958797915,1.2462178102254324,-0.7401193827985633
2175,Male,39,Divorced,Mid,13,Sales,Contract,2,3,3.0,4,1,8.5,Walk,2,5,11,0,Bachelor,False,36.5,4,0.605,0.4263401614873545,0.4579999999999999,-0.1683986623422096,0.6746426975192413,-0.5879664889980762
2181,Male,30,Single,Mid,8,Customer Service,Part-Time,5,1,4.4,3,1,7.4,Public Transport,8,2,12,0,Bachelor,False,34.0,4,0.42,-0.3227751163994959,0.413,-0.3515789304431254,1.9559452838098923,0.0145417348883126
2182,Female,22,Single,Junior,0,IT,Full-Time,3,3,2.7,3,2,7.6,Public Transport,23,0,9,0,Bachelor,True,20.0,4,0.276,-0.964391907883082,0.944,2.8247566184269326,1.4475152754503298,-0.5771805927233176
2184,Female,31,Married,Mid,9,Finance,Part-Time,4,2,2.3,3,3,7.5,Bike,6,3,10,0,Bachelor,False,34.5,4,0.2789999999999999,-0.9494287424251738,0.977,3.748948958797915,1.2462178102254324,-0.7401193827985633
2185,Male,28,Single,Junior,6,Finance,Part-Time,3,4,2.1,5,1,6.0,Public Transport,13,2,5,0,Bachelor,False,23.0,4,0.2789999999999999,-0.9494287424251738,0.977,3.748948958797915,1.2462178102254324,-0.7401193827985633
2188,Male,29,Married,Junior,5,Customer Service,Full-Time,3,3,2.1,5,1,7.9,Walk,1,2,9,0,Bachelor,False,22.5,4,0.42,-0.3227751163994959,0.413,-0.3515789304431254,1.9559452838098923,0.0145417348883126
2189,Other,30,Single,Mid,2,Marketing,Full-Time,5,2,1.7,5,1,7.7,Car,19,2,13,0,Bachelor,True,31.0,4,0.236,-1.1747372930405775,0.995,5.293104844721825,7.93258469151263,4.4833271048674606
2191,Male,29,Single,Mid,7,Sales,Full-Time,3,5,1.5,2,2,7.3,Walk,2,2,14,0,Bachelor,True,33.5,4,0.605,0.4263401614873545,0.4579999999999999,-0.1683986623422096,0.6746426975192413,-0.5879664889980762
2202,Female,51,Married,Senior,7,Finance,Full-Time,4,3,1.5,1,4,7.2,Car,10,9,16,3,Bachelor,False,43.5,4,0.2789999999999999,-0.9494287424251738,0.977,3.748948958797915,1.2462178102254324,-0.7401193827985633
2204,Male,24,Single,Mid,2,Operations,Full-Time,2,4,1.6,4,1,5.4,Public Transport,9,0,12,0,Bachelor,False,31.0,4,0.341,-0.6588425746685219,0.957,3.102580020215852,1.2378562988634576,-0.963264164870842
2214,Female,47,Divorced,Mid,2,Operations,Full-Time,2,1,1.0,2,3,8.1,Bike,9,8,10,0,Bachelor,False,31.0,4,0.341,-0.6588425746685219,0.957,3.102580020215852,1.2378562988634576,-0.963264164870842
2216,Male,24,Single,Junior,2,IT,Part-Time,3,5,2.3,5,1,7.5,Walk,2,0,8,0,Bachelor,True,21.0,4,0.276,-0.964391907883082,0.944,2.8247566184269326,1.4475152754503298,-0.5771805927233176
2218,Female,27,Single,Junior,3,Finance,Full-Time,3,3,1.4,3,2,7.2,Public Transport,18,1,5,0,Bachelor,False,21.5,4,0.2789999999999999,-0.9494287424251738,0.977,3.748948958797915,1.2462178102254324,-0.7401193827985633
2220,Male,27,Single,Junior,5,IT,Part-Time,4,2,0.7,3,1,7.1,Car,12,1,10,0,Bachelor,True,22.5,4,0.276,-0.964391907883082,0.944,2.8247566184269326,1.4475152754503298,-0.5771805927233176
2225,Male,47,Married,Mid,25,IT,Full-Time,1,3,0.9,2,1,6.7,Motorbike,24,8,14,0,Bachelor,False,42.5,4,0.276,-0.964391907883082,0.944,2.8247566184269326,1.4475152754503298,-0.5771805927233176
2226,Female,39,Married,Senior,17,Operations,Full-Time,3,5,1.0,3,1,4.9,Public Transport,19,5,20,7,Bachelor,False,48.5,4,0.341,-0.6588425746685219,0.957,3.102580020215852,1.2378562988634576,-0.963264164870842
2227,Male,27,Single,Mid,5,Operations,Contract,5,1,1.4,5,1,6.5,Car,8,1,15,0,Bachelor,False,32.5,4,0.341,-0.6588425746685219,0.957,3.102580020215852,1.2378562988634576,-0.963264164870842
2229,Male,25,Single,Junior,3,Finance,Full-Time,1,4,1.4,3,2,7.5,Motorbike,18,1,7,0,Bachelor,False,21.5,4,0.2789999999999999,-0.9494287424251738,0.977,3.748948958797915,1.2462178102254324,-0.7401193827985633
2235,Male,45,Married,Mid,23,Finance,Full-Time,3,2,2.1,1,2,6.8,Public Transport,9,7,13,0,Bachelor,False,41.5,4,0.2789999999999999,-0.9494287424251738,0.977,3.748948958797915,1.2462178102254324,-0.7401193827985633
2237,Female,39,Married,Senior,7,Sales,Full-Time,1,5,3.4,5,1,6.9,Walk,2,5,19,1,Bachelor,False,43.5,4,0.605,0.4263401614873545,0.4579999999999999,-0.1683986623422096,0.6746426975192413,-0.5879664889980762
2242,Female,30,Single,Mid,8,Marketing,Part-Time,3,3,2.2,1,4,7.8,Public Transport,17,2,13,0,Bachelor,False,34.0,4,0.236,-1.1747372930405775,0.995,5.293104844721825,7.93258469151263,4.4833271048674606
2243,Male,39,Single,Mid,14,Sales,Part-Time,4,4,3.3,3,3,6.6,Public Transport,14,5,12,0,Bachelor,False,37.0,4,0.605,0.4263401614873545,0.4579999999999999,-0.1683986623422096,0.6746426975192413,-0.5879664889980762
2247,Female,35,Married,Senior,13,Sales,Part-Time,4,1,2.6,1,1,6.6,Car,27,4,15,9,Bachelor,False,46.5,4,0.605,0.4263401614873545,0.4579999999999999,-0.1683986623422096,0.6746426975192413,-0.5879664889980762
2256,Female,24,Married,Junior,2,Legal,Full-Time,5,2,2.3,4,2,7.9,Motorbike,15,0,10,0,Bachelor,False,21.0,4,0.379,-0.4937964871557141,0.934,2.6498065448020496,0.9477771405175616,-0.7161813628788973
2261,Male,31,Married,Senior,9,Sales,Full-Time,3,3,2.5,2,1,5.4,Motorbike,7,3,18,1,Bachelor,True,44.5,4,0.605,0.4263401614873545,0.4579999999999999,-0.1683986623422096,0.6746426975192413,-0.5879664889980762
2271,Female,24,Single,Junior,1,Finance,Contract,1,3,2.3,3,2,7.9,Car,8,0,8,0,Bachelor,False,20.5,4,0.2789999999999999,-0.9494287424251738,0.977,3.748948958797915,1.2462178102254324,-0.7401193827985633
2275,Male,26,Married,Senior,4,Marketing,Full-Time,4,4,0.0,4,1,6.7,Walk,1,1,18,7,Bachelor,False,42.0,4,0.236,-1.1747372930405775,0.995,5.293104844721825,7.93258469151263,4.4833271048674606
2276,Female,23,Single,Intern/Fresher,1,Sales,Full-Time,1,4,1.5,4,1,7.1,Walk,2,0,24,0,Bachelor,False,10.5,4,0.605,0.4263401614873545,0.4579999999999999,-0.1683986623422096,0.6746426975192413,-0.5879664889980762
2277,Female,28,Single,Junior,6,Legal,Part-Time,3,1,1.1,1,1,8.3,Public Transport,28,2,5,0,Bachelor,False,23.0,4,0.379,-0.4937964871557141,0.934,2.6498065448020496,0.9477771405175616,-0.7161813628788973
2278,Male,23,Single,Intern/Fresher,1,Customer Service,Contract,4,3,2.8,3,2,6.2,Car,5,0,27,0,Bachelor,False,10.5,4,0.42,-0.3227751163994959,0.413,-0.3515789304431254,1.9559452838098923,0.0145417348883126
2284,Male,40,Married,Mid,18,IT,Full-Time,2,5,2.7,4,1,6.4,Car,18,6,10,0,Bachelor,True,39.0,4,0.276,-0.964391907883082,0.944,2.8247566184269326,1.4475152754503298,-0.5771805927233176
2287,Female,25,Married,Junior,3,Sales,Part-Time,5,3,0.8,5,1,7.3,Public Transport,21,1,9,0,Bachelor,False,21.5,4,0.605,0.4263401614873545,0.4579999999999999,-0.1683986623422096,0.6746426975192413,-0.5879664889980762
2289,Male,22,Single,Intern/Fresher,0,IT,Contract,4,4,3.7,5,2,8.3,Car,21,0,25,0,Bachelor,True,10.0,4,0.276,-0.964391907883082,0.944,2.8247566184269326,1.4475152754503298,-0.5771805927233176
2290,Female,28,Single,Junior,6,Sales,Part-Time,1,1,0.6,1,1,6.8,Car,29,2,10,0,Bachelor,False,23.0,4,0.605,0.4263401614873545,0.4579999999999999,-0.1683986623422096,0.6746426975192413,-0.5879664889980762
2291,Male,23,Single,Intern/Fresher,1,IT,Full-Time,4,5,2.8,2,2,6.7,Public Transport,18,0,26,0,Bachelor,False,10.5,4,0.276,-0.964391907883082,0.944,2.8247566184269326,1.4475152754503298,-0.5771805927233176
2293,Female,23,Single,Junior,1,Marketing,Contract,2,5,2.5,4,1,8.4,Walk,2,0,9,0,Bachelor,False,20.5,4,0.236,-1.1747372930405775,0.995,5.293104844721825,7.93258469151263,4.4833271048674606
2297,Male,32,Single,Senior,9,Legal,Part-Time,5,2,2.8,4,1,7.7,Car,6,3,23,2,Bachelor,False,44.5,4,0.379,-0.4937964871557141,0.934,2.6498065448020496,0.9477771405175616,-0.7161813628788973
2301,Other,24,Single,Junior,2,Operations,Part-Time,1,4,1.6,2,1,6.7,Walk,1,0,8,0,Bachelor,False,21.0,4,0.341,-0.6588425746685219,0.957,3.102580020215852,1.2378562988634576,-0.963264164870842
2306,Male,26,Single,Junior,4,Finance,Part-Time,2,4,2.5,5,1,7.3,Public Transport,16,1,8,0,Bachelor,False,22.0,4,0.2789999999999999,-0.9494287424251738,0.977,3.748948958797915,1.2462178102254324,-0.7401193827985633
2308,Male,34,Married,Mid,12,IT,Full-Time,4,1,1.7,1,1,5.8,Car,28,4,14,0,Bachelor,True,36.0,4,0.276,-0.964391907883082,0.944,2.8247566184269326,1.4475152754503298,-0.5771805927233176
